R,xF,F_mol_s,xD,Qreb_kW
2.56842,0.752632,27.77777777777778,0.991192,1208.77
2.56842,0.792105,27.77777777777778,0.992219,1214.26
2.56842,0.831579,27.77777777777778,0.993047,1219.79
2.56842,0.871053,27.77777777777778,0.993726,1225.36
2.56842,0.910526,27.77777777777778,0.994293,1230.96
2.56842,0.95,27.77777777777778,0.994772,1236.6
2.78947,0.2,27.77777777777778,0.741898,1158.56
2.78947,0.239474,27.77777777777778,0.807293,1162.57
2.78947,0.278947,27.77777777777778,0.858801,1166.71
2.78947,0.318421,27.77777777777778,0.899094,1170.99
2.78947,0.357895,27.77777777777778,0.929827,1175.39
2.78947,0.397368,27.77777777777778,0.952086,1179.9
2.78947,0.436842,27.77777777777778,0.967083,1184.53
2.78947,0.476316,27.77777777777778,0.976603,1189.26
2.78947,0.515789,27.77777777777778,0.982567,1194.07
2.78947,0.555263,27.77777777777778,0.986408,1198.97
2.78947,0.594737,27.77777777777778,0.988997,1203.94
2.78947,0.634211,27.77777777777778,0.990823,1208.97
2.78947,0.673684,27.77777777777778,0.992166,1214.06
2.78947,0.713158,27.77777777777778,0.993187,1219.2
2.78947,0.752632,27.77777777777778,0.993987,1224.39
2.78947,0.792105,27.77777777777778,0.994628,1229.63
2.78947,0.831579,27.77777777777778,0.995153,1234.9
2.78947,0.871053,27.77777777777778,0.995589,1240.21
2.78947,0.910526,27.77777777777778,0.995957,1245.56
2.78947,0.95,27.77777777777778,0.996272,1250.93
3.01053,0.2,27.77777777777778,0.767563,1176.3
3.01053,0.239474,27.77777777777778,0.833919,1180.05
3.01053,0.278947,27.77777777777778,0.885364,1183.94
3.01053,0.318421,27.77777777777778,0.924251,1187.96
3.01053,0.357895,27.77777777777778,0.95178,1192.12
3.01053,0.397368,27.77777777777778,0.969269,1196.4
3.01053,0.436842,27.77777777777778,0.979399,1200.8
3.01053,0.476316,27.77777777777778,0.985202,1205.29
3.01053,0.515789,27.77777777777778,0.988704,1209.87
3.01053,0.555263,27.77777777777778,0.990968,1214.53
3.01053,0.594737,27.77777777777778,0.992522,1219.26
3.01053,0.634211,27.77777777777778,0.993646,1224.05
3.01053,0.673684,27.77777777777778,0.99449,1228.91
3.01053,0.713158,27.77777777777778,0.995147,1233.81
3.01053,0.752632,27.77777777777778,0.99567,1238.76
3.01053,0.792105,27.77777777777778,0.996096,1243.76
3.01053,0.831579,27.77777777777778,0.996449,1248.8
3.01053,0.871053,27.77777777777778,0.996747,1253.87
3.01053,0.910526,27.77777777777778,0.997001,1258.98
3.01053,0.95,27.77777777777778,0.99722,1264.11
3.23158,0.2,27.77777777777778,0.793036,1192.66
